label,uri
"GROUNDWATER CHEMISTRY",https://gcmdservices.gsfc.nasa.gov/kms/concept/8435030e-8d16-409f-a812-ace5d8ffc122
"LANDSCAPE PROCESSES",https://gcmdservices.gsfc.nasa.gov/kms/concept/6c44a08d-0a08-47f5-b819-7e561445e613
"COLOR",https://gcmdservices.gsfc.nasa.gov/kms/concept/d8bea85a-4578-410f-b58a-4927b8963aef
"KAMES",https://gcmdservices.gsfc.nasa.gov/kms/concept/a3407182-6908-4206-b2fd-4c39da4072ce
"NATALITY RATES",https://gcmdservices.gsfc.nasa.gov/kms/concept/d0931461-2e93-418c-b470-a218cadcf498
"EXTINCTION COEFFICIENTS",https://gcmdservices.gsfc.nasa.gov/kms/concept/5f2ec7b9-3e8c-4d12-bba6-0f84c08729e0
"HETEROTROPHIC RESPIRATION (Rh)",https://gcmdservices.gsfc.nasa.gov/kms/concept/8286d00a-e540-4e01-9e15-377711e5fe56
"HEAVY METALS CONCENTRATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/0c4ffc6a-694d-4f33-bc18-06fefb68acdd
"ROCHE MOUNTONNEES/SHEEPBACK",https://gcmdservices.gsfc.nasa.gov/kms/concept/691cb42a-9de2-4f49-b1b4-9a4be80abd2b
"NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)",https://gcmdservices.gsfc.nasa.gov/kms/concept/7b43eda3-899a-4afa-89be-2dbe527834c2
"FIRST MODERATE FREEZE/FROST DATE",https://gcmdservices.gsfc.nasa.gov/kms/concept/581d6ad6-2132-45cf-b6be-72341024587b
"MINERALOIDS",https://gcmdservices.gsfc.nasa.gov/kms/concept/56373f39-7c27-4a77-bb52-c4defee751f8
"OCEAN CONTAMINANTS",https://gcmdservices.gsfc.nasa.gov/kms/concept/f1ee3e81-09b9-48d4-81d9-5faeb90430cc
"SEDIMENT THICKNESS",https://gcmdservices.gsfc.nasa.gov/kms/concept/6fb40553-a2ef-465a-b7d2-3401e3bfceac
"WHITEOUT",https://gcmdservices.gsfc.nasa.gov/kms/concept/067004b9-1628-4c00-8bfb-28f910b68d59
"DOWNCUTTING",https://gcmdservices.gsfc.nasa.gov/kms/concept/0bb77741-598a-4f8c-8ce9-5aa0d61a0906
